1000 0.500000
0
1
0
Filter @ 0x117f010
- filter -
size:  1000
error: 0.500000
- bloom -
bit_size:   1443
bit/entry:  1.443000
byte_size:  181
hash_num:   1
entries:    1
30020010 275588 15
40010060 274622 14
40010405 271160 15
50000127 270064 15
30020018 268901 15
40010205 266487 15
30040004 264682 16
50000039 263922 16
40010552 262581 17
40010359 260423 17
40010097 260211 17
40010239 260203 18
50000018 255771 19
40010191 254210 20
40010320 251151 21
90000003 248889 22
40040012 246899 23
40010025 242854 23
40010015 240731 9
40010545 239884 9
40010426 237044 9
40010070 232511 10
40010018 231127 11
50000116 227123 12
40040011 225251 13
40010023 225116 14
40010431 222452 15
40010400 216739 16
40010637 213882 16
20010016 212746 9
40010399 209732 10
10040003 209237 11
40010347 205610 12
40010307 203468 13
50000016 200802 14
40010033 199584 15
40010411 199300 16
40010525 197244 16
40010362 195049 10
40010026 194908 11
40010349 194805 12
10070003 194063 13
40010611 193776 14
20010023 193613 15
40010266 193034 15
40010450 192458 11
30020014 189534 12
40010549 187074 13
10020001 185726 14
40010561 184544 15
50000091 181753 15
40010121 181093 12
50000041 180568 13
40010403 180313 14
40010294 179561 15
40010092 177544 15
40010510 173865 13
40010011 173323 14
40010250 171865 15
40010235 170560 15
40010178 169130 14
40010254 163638 15
40010444 161763 15
10030011 161308 15
40010295 159593 15
50000029 159245 16
40010337 154967 16
40010261 154496 17
50000038 154032 17
40010007 151360 17
40010414 146965 18
40010631 146201 19
30020015 143584 20
40010138 143058 21
40010270 142845 22
40010319 141578 23
50000015 138321 23
40010209 136082 9
30020019 134853 10
40010177 134142 11
40010167 133255 12
40010232 133157 13
40010225 132257 14
50000013 128787 15
40010418 127666 16
50000059 125229 16
10070024 124707 10
40010299 123918 11
10030001 123302 12
10070002 123004 13
90000004 121804 14
40010245 121272 15
50000031 119588 15
40010246 117064 11
40010016 114256 12
40010226 114207 13
40010174 113611 14
40010006 113153 15
50000120 110664 15
40010013 110628 12
40010326 109135 13
40010111 106377 14
40010331 106258 15
40010629 104108 15
40010432 103885 13
40010188 103652 14
40010275 102626 15
40010417 102110 15
40010185 97212 14
40010416 93971 15
50000014 92359 15
40010199 92203 15
40010495 92051 15
40010298 92003 16
40010591 91606 16
40010279 91517 16
40010230 89552 17
40010477 87116 18
40010212 84787 19
40010649 83791 20
50000001 83201 21
30020011 83015 22
40010216 82784 23
40010214 75320 23
40010143 72725 10
40010069 71855 11
40010615 71494 12
40010546 68886 13
40010516 68485 14
40010435 67912 15
40010186 67535 15
50000101 67483 11
10030010 62424 12
10070014 62198 13
40010192 61758 14
10070015 58798 15
40010397 58605 15
40010519 56081 12
40010213 54397 13
40010283 54165 14
40010404 53175 15
40010187 52369 15
40010297 51113 13
40010632 50703 14
40010068 48582 15
40010616 48484 15
50000042 48328 14
40010217 48018 15
40010625 46996 15
50000130 46794 15
50000070 45619 15
40010634 45020 16
50000036 44382 16
40010406 44219 16
40010322 41336 17
40010223 41070 18
40010150 40597 19
40010635 38552 20
40010341 37605 21
40010102 36801 22
50000004 35485 23
40010308 35023 23
40010612 34865 11
40010334 34450 12
40010648 33704 13
50000060 32715 14
40010330 32271 15
50000028 31649 15
40010627 31255 12
40010327 31225 13
50000024 30303 14
40010249 29874 14
50000011 29433 13
40010200 28343 14
40010274 27658 15
10040004 27221 15
30020004 26995 14
40010335 26981 15
30020008 26813 15
40010224 26791 15
30020012 26738 15
40010075 25906 16
40010329 25652 16
40010264 24225 16
40010647 24107 17
40010630 23217 18
40010646 22480 19
50000023 22180 20
40010296 21773 21
40010360 20924 22
40010035 20883 23
40010202 20752 23
40010345 20376 12
40010363 20291 13
40010282 19294 14
